id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
47,14713,디펜바키아 트로픽스노우,https://nongsaro.go.kr/cms_contents/301/14713_MF_ATTACH_03.jpg,https://nongsaro.go.kr/cms_contents/301/14713_MF_ATTACH_03_TMB.jpg,30,50,21~25℃,21,25,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,4,3,3,3,4,13,,13℃ 이상
48,14911,떡갈잎 고무나무,https://nongsaro.go.kr/cms_contents/301/14911_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14911_MF_REPR_ATTACH_01_TMB.jpg,70,200,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,2,3,3,3,4,13,,13℃ 이상
49,14913,러브체인,https://nongsaro.go.kr/cms_contents/301/14913_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14913_MF_REPR_ATTACH_01_TMB.jpg,30,5,16~20℃,16,20,1,40% 미만,,40,0000,,800~10000 Lux,800,10000,2,0,300,0,4,4,4,4,10,10,10℃
50,14920,렉스베고니아,https://nongsaro.go.kr/cms_contents/301/14920_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14920_MF_ATTACH_01_TMB.jpg,40,40,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
51,15830,루모라고사리,https://nongsaro.go.kr/cms_contents/301/15830_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/15830_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,70% 이상,70,,0000,,800~10000 Lux,800,10000,5,0,300,0,2,2,2,3,5,5,5℃
52,16034,루스커스,https://nongsaro.go.kr/cms_contents/301/16034_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16034_MF_REPR_ATTACH_01_TMB.jpg,50,70,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,5,5,5℃
53,16038,마란타 류코뉴라,https://nongsaro.go.kr/cms_contents/301/16038_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16038_MF_ATTACH_01_TMB.jpg,25,25,16~20℃,16,20,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
54,16238,마삭줄,https://nongsaro.go.kr/cms_contents/301/16238_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16238_MF_REPR_ATTACH_01_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,2,0,300,0,3,3,3,3,,0,0℃ 이하
55,16239,만년청,https://nongsaro.go.kr/cms_contents/301/16239_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16239_MF_ATTACH_01_TMB.jpg,40,40,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",300~1500 Lux,300,1500,1,0,,0,3,3,3,4,,0,0℃ 이하
56,16241,만데빌라,https://nongsaro.go.kr/cms_contents/301/16241_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16241_MF_REPR_ATTACH_01_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,1110,"봄, 여름, 가을",800~10000 Lux,800,10000,3,0,300,2,3,3,3,4,13,,13℃ 이상
57,16245,멕시코소철,https://nongsaro.go.kr/cms_contents/301/16245_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16245_MF_ATTACH_01_TMB.jpg,100,100,21~25℃,21,25,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,300,2,3,3,3,4,10,10,10℃
58,16246,멜라니 고무나무,https://nongsaro.go.kr/cms_contents/301/16246_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16246_MF_ATTACH_01_TMB.jpg,70,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
59,16448,목베고니아,https://nongsaro.go.kr/cms_contents/301/16448_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/16448_MF_ATTACH_01_TMB.jpg,50,100,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,0,2,2,2,3,13,,13℃ 이상
60,16449,몬스테라,https://nongsaro.go.kr/cms_contents/301/16449_MF_ATTACH_06.jpg,https://nongsaro.go.kr/cms_contents/301/16449_MF_ATTACH_06_TMB.jpg,100,150,16~20℃,16,20,1,70% 이상,70,,0000,,800~10000 Lux,800,10000,2,0,300,2,2,2,2,3,13,,13℃ 이상
61,17749,무늬관음죽,https://nongsaro.go.kr/cms_contents/301/17749_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/17749_MF_ATTACH_05_TMB.jpg,50,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,0,3,3,3,4,10,10,10℃
62,17750,무늬마삭줄,https://nongsaro.go.kr/cms_contents/301/17750_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/17750_MF_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,300,0,2,2,2,3,5,5,5℃
